Ticker,EBIT,EV,EY,ROC,rank_EY,rank_ROC,score,out_in
PMTS,62792000.0,412732403.4728012,0.1521373157805332,0.1832176891788584,182.0,277.0,459.0,in
MNDO,4377000.0,21219918.30268526,0.2062684661441941,0.1538813106454788,131.0,333.0,464.0,in
WLTH,142039000.0,1845120111.5,0.07698089631928,0.4933023078125271,372.0,96.0,468.0,in
SIEB,17730000.0,112532127.62433052,0.1575550056174944,0.1697089200080403,176.0,295.0,471.0,in
WFRD,897000000.0,7075670816.564606,0.1267724323607685,0.192986230636833,214.0,259.0,473.0,in
NTWK,6918612.0,28353342.374971867,0.2440139828490631,0.1423289945893228,115.0,361.0,476.0,in
FUFU,67959000.0,499525548.8646021,0.1360470953977581,0.1837892072283552,202.0,276.0,478.0,in
YSXT,4858567.0,30453515.122311,0.1595404333616809,0.1657659045134003,173.0,307.0,480.0,in
ALKS,466328000.0,4632242165.01973,0.1006700391273723,0.2451548935772012,281.0,202.0,483.0,in
IRWD,98232000.0,1174650867.3486042,0.0836265504334297,0.2998672100370896,339.0,148.0,487.0,in
LNTH,450646000.0,4423378302.881508,0.1018782408247644,0.2307815608684408,276.0,212.0,488.0,in
ITRN,73267000.0,807021520.0,0.0907869222619986,0.2605669617295498,309.0,181.0,490.0,in
FIZZ,235459000.0,2874516264.0,0.0819125648892136,0.3025570846664868,345.0,146.0,491.0,in
HGBL,9066000.0,25084771.647357464,0.3614144919256241,0.1284827527564411,94.0,402.0,496.0,in
FTLF,13238000.0,154743457.25889206,0.0855480434164805,0.2774854843104785,330.0,168.0,498.0,in
OSPN,49249000.0,428507287.8339367,0.1149315341845152,0.1915185689286408,239.0,261.0,500.0,in
MIND,6818000.0,68740561.82387733,0.0991845253966449,0.2251279511309229,284.0,219.0,503.0,in
